home_team,away_team,home_goals,away_goals,result,season
Newcastle,Liverpool,2,2,D,2013-2014
Arsenal,Norwich,4,1,H,2013-2014
Chelsea,Cardiff,4,1,H,2013-2014
Everton,Hull,2,1,H,2013-2014
Man United,Southampton,1,1,D,2013-2014
Stoke,West Brom,0,0,D,2013-2014
Swansea,Sunderland,4,0,H,2013-2014
West Ham,Man City,1,3,A,2013-2014
Aston Villa,Tottenham,0,2,A,2013-2014
Crystal Palace,Fulham,1,4,A,2013-2014
Crystal Palace,Arsenal,0,2,A,2013-2014
Aston Villa,Everton,0,2,A,2013-2014
Liverpool,West Brom,4,1,H,2013-2014
Man United,Stoke,3,2,H,2013-2014
Norwich,Cardiff,0,0,D,2013-2014
Southampton,Fulham,2,0,H,2013-2014
Sunderland,Newcastle,2,1,H,2013-2014
Chelsea,Man City,2,1,H,2013-2014
Swansea,West Ham,0,0,D,2013-2014
Tottenham,Hull,1,0,H,2013-2014
Newcastle,Chelsea,2,0,H,2013-2014
Fulham,Man United,1,3,A,2013-2014
Hull,Sunderland,1,0,H,2013-2014
Man City,Norwich,7,0,H,2013-2014
Stoke,Southampton,1,1,D,2013-2014
West Brom,Crystal Palace,2,0,H,2013-2014
West Ham,Aston Villa,0,0,D,2013-2014
Arsenal,Liverpool,2,0,H,2013-2014
Everton,Tottenham,0,0,D,2013-2014
Cardiff,Swansea,1,0,H,2013-2014
Aston Villa,Cardiff,2,0,H,2013-2014
Chelsea,West Brom,2,2,D,2013-2014
Crystal Palace,Everton,0,0,D,2013-2014
Liverpool,Fulham,4,0,H,2013-2014
Southampton,Hull,4,1,H,2013-2014
Norwich,West Ham,3,1,H,2013-2014
Tottenham,Newcastle,0,1,A,2013-2014
Sunderland,Man City,1,0,H,2013-2014
Man United,Arsenal,1,0,H,2013-2014
Swansea,Stoke,3,3,D,2013-2014
Everton,Liverpool,3,3,D,2013-2014
Arsenal,Southampton,2,0,H,2013-2014
Fulham,Swansea,1,2,A,2013-2014
Hull,Crystal Palace,0,1,A,2013-2014
Newcastle,Norwich,2,1,H,2013-2014
Stoke,Sunderland,2,0,H,2013-2014
West Ham,Chelsea,0,3,A,2013-2014
Man City,Tottenham,6,0,H,2013-2014
Cardiff,Man United,2,2,D,2013-2014
West Brom,Aston Villa,2,2,D,2013-2014
Aston Villa,Sunderland,0,0,D,2013-2014
Cardiff,Arsenal,0,3,A,2013-2014
Everton,Stoke,4,0,H,2013-2014
Norwich,Crystal Palace,1,0,H,2013-2014
West Ham,Fulham,3,0,H,2013-2014
Newcastle,West Brom,2,1,H,2013-2014
Tottenham,Man United,2,2,D,2013-2014
Hull,Liverpool,3,1,H,2013-2014
Chelsea,Southampton,3,1,H,2013-2014
Man City,Swansea,3,0,H,2013-2014
Crystal Palace,West Ham,1,0,H,2013-2014
Arsenal,Hull,2,0,H,2013-2014
Liverpool,Norwich,5,1,H,2013-2014
Man United,Everton,0,1,A,2013-2014
Southampton,Aston Villa,2,3,A,2013-2014
Stoke,Cardiff,0,0,D,2013-2014
Sunderland,Chelsea,3,4,A,2013-2014
Swansea,Newcastle,3,0,H,2013-2014
Fulham,Tottenham,1,2,A,2013-2014
West Brom,Man City,2,3,A,2013-2014
Man United,Newcastle,0,1,A,2013-2014
Crystal Palace,Cardiff,2,0,H,2013-2014
Liverpool,West Ham,4,1,H,2013-2014
Southampton,Man City,1,1,D,2013-2014
Stoke,Chelsea,3,2,H,2013-2014
West Brom,Norwich,0,2,A,2013-2014
Sunderland,Tottenham,1,2,A,2013-2014
Fulham,Aston Villa,2,0,H,2013-2014
Arsenal,Everton,1,1,D,2013-2014
Swansea,Hull,1,1,D,2013-2014
Man City,Arsenal,6,3,H,2013-2014
Cardiff,West Brom,1,0,H,2013-2014
Chelsea,Crystal Palace,2,1,H,2013-2014
Everton,Fulham,4,1,H,2013-2014
Newcastle,Southampton,1,1,D,2013-2014
West Ham,Sunderland,0,0,D,2013-2014
Hull,Stoke,0,0,D,2013-2014
Aston Villa,Man United,0,3,A,2013-2014
Norwich,Swansea,1,1,D,2013-2014
Tottenham,Liverpool,0,5,A,2013-2014
Liverpool,Cardiff,3,1,H,2013-2014
Crystal Palace,Newcastle,0,3,A,2013-2014
Fulham,Man City,2,4,A,2013-2014
Man United,West Ham,3,1,H,2013-2014
Stoke,Aston Villa,2,1,H,2013-2014
Sunderland,Norwich,0,0,D,2013-2014
West Brom,Hull,1,1,D,2013-2014
Southampton,Tottenham,2,3,A,2013-2014
Swansea,Everton,1,2,A,2013-2014
Arsenal,Chelsea,0,0,D,2013-2014
Hull,Man United,2,3,A,2013-2014
Aston Villa,Crystal Palace,0,1,A,2013-2014
Cardiff,Southampton,0,3,A,2013-2014
Chelsea,Swansea,1,0,H,2013-2014
Everton,Sunderland,0,1,A,2013-2014
Newcastle,Stoke,5,1,H,2013-2014
Norwich,Fulham,1,2,A,2013-2014
Tottenham,West Brom,1,1,D,2013-2014
West Ham,Arsenal,1,3,A,2013-2014
Man City,Liverpool,2,1,H,2013-2014
West Ham,West Brom,3,3,D,2013-2014
Aston Villa,Swansea,1,1,D,2013-2014
Hull,Fulham,6,0,H,2013-2014
Man City,Crystal Palace,1,0,H,2013-2014
Norwich,Man United,0,1,A,2013-2014
Cardiff,Sunderland,2,2,D,2013-2014
Everton,Southampton,2,1,H,2013-2014
Newcastle,Arsenal,0,1,A,2013-2014
Chelsea,Liverpool,2,1,H,2013-2014
Tottenham,Stoke,3,0,H,2013-2014
Swansea,Man City,2,3,A,2013-2014
Arsenal,Cardiff,2,0,H,2013-2014
Crystal Palace,Norwich,1,1,D,2013-2014
Fulham,West Ham,2,1,H,2013-2014
Liverpool,Hull,2,0,H,2013-2014
Southampton,Chelsea,0,3,A,2013-2014
Stoke,Everton,1,1,D,2013-2014
Sunderland,Aston Villa,0,1,A,2013-2014
West Brom,Newcastle,1,0,H,2013-2014
Man United,Tottenham,1,2,A,2013-2014
Hull,Chelsea,0,2,A,2013-2014
Cardiff,West Ham,0,2,A,2013-2014
Everton,Norwich,2,0,H,2013-2014
Fulham,Sunderland,1,4,A,2013-2014
Southampton,West Brom,1,0,H,2013-2014
Tottenham,Crystal Palace,2,0,H,2013-2014
Man United,Swansea,2,0,H,2013-2014
Newcastle,Man City,0,2,A,2013-2014
Stoke,Liverpool,3,5,A,2013-2014
Aston Villa,Arsenal,1,2,A,2013-2014
Sunderland,Southampton,2,2,D,2013-2014
Arsenal,Fulham,2,0,H,2013-2014
Crystal Palace,Stoke,1,0,H,2013-2014
Man City,Cardiff,4,2,H,2013-2014
Norwich,Hull,1,0,H,2013-2014
West Ham,Newcastle,1,3,A,2013-2014
Liverpool,Aston Villa,2,2,D,2013-2014
Swansea,Tottenham,1,3,A,2013-2014
Chelsea,Man United,3,1,H,2013-2014
West Brom,Everton,1,1,D,2013-2014
Man United,Cardiff,2,0,H,2013-2014
Norwich,Newcastle,0,0,D,2013-2014
Southampton,Arsenal,2,2,D,2013-2014
Swansea,Fulham,2,0,H,2013-2014
Crystal Palace,Hull,1,0,H,2013-2014
Liverpool,Everton,4,0,H,2013-2014
Aston Villa,West Brom,4,3,H,2013-2014
Chelsea,West Ham,0,0,D,2013-2014
Sunderland,Stoke,1,0,H,2013-2014
Tottenham,Man City,1,5,A,2013-2014
Newcastle,Sunderland,0,3,A,2013-2014
West Ham,Swansea,2,0,H,2013-2014
Cardiff,Norwich,2,1,H,2013-2014
Everton,Aston Villa,2,1,H,2013-2014
Fulham,Southampton,0,3,A,2013-2014
Hull,Tottenham,1,1,D,2013-2014
Stoke,Man United,2,1,H,2013-2014
West Brom,Liverpool,1,1,D,2013-2014
Arsenal,Crystal Palace,2,0,H,2013-2014
Man City,Chelsea,0,1,A,2013-2014
Liverpool,Arsenal,5,1,H,2013-2014
Aston Villa,West Ham,0,2,A,2013-2014
Chelsea,Newcastle,3,0,H,2013-2014
Crystal Palace,West Brom,3,1,H,2013-2014
Norwich,Man City,0,0,D,2013-2014
Southampton,Stoke,2,2,D,2013-2014
Sunderland,Hull,0,2,A,2013-2014
Swansea,Cardiff,3,0,H,2013-2014
Tottenham,Everton,1,0,H,2013-2014
Man United,Fulham,2,2,D,2013-2014
Cardiff,Aston Villa,0,0,D,2013-2014
Hull,Southampton,0,1,A,2013-2014
West Ham,Norwich,2,0,H,2013-2014
West Brom,Chelsea,1,1,D,2013-2014
Arsenal,Man United,0,0,D,2013-2014
Newcastle,Tottenham,0,4,A,2013-2014
Stoke,Swansea,1,1,D,2013-2014
Fulham,Liverpool,2,3,A,2013-2014
Chelsea,Everton,1,0,H,2013-2014
Arsenal,Sunderland,4,1,H,2013-2014
Cardiff,Hull,0,4,A,2013-2014
Man City,Stoke,1,0,H,2013-2014
West Brom,Fulham,1,1,D,2013-2014
West Ham,Southampton,3,1,H,2013-2014
Crystal Palace,Man United,0,2,A,2013-2014
Liverpool,Swansea,4,3,H,2013-2014
Newcastle,Aston Villa,1,0,H,2013-2014
Norwich,Tottenham,1,0,H,2013-2014
Everton,West Ham,1,0,H,2013-2014
Fulham,Chelsea,1,3,A,2013-2014
Hull,Newcastle,1,4,A,2013-2014
Stoke,Arsenal,1,0,H,2013-2014
Southampton,Liverpool,0,3,A,2013-2014
Aston Villa,Norwich,4,1,H,2013-2014
Swansea,Crystal Palace,1,1,D,2013-2014
Tottenham,Cardiff,1,0,H,2013-2014
West Brom,Man United,0,3,A,2013-2014
Cardiff,Fulham,3,1,H,2013-2014
Crystal Palace,Southampton,0,1,A,2013-2014
Norwich,Stoke,1,1,D,2013-2014
Chelsea,Tottenham,4,0,H,2013-2014
Hull,Man City,0,2,A,2013-2014
Everton,Cardiff,2,1,H,2013-2014
Fulham,Newcastle,1,0,H,2013-2014
Southampton,Norwich,4,2,H,2013-2014
Stoke,West Ham,3,1,H,2013-2014
Sunderland,Crystal Palace,0,0,D,2013-2014
Swansea,West Brom,1,2,A,2013-2014
Aston Villa,Chelsea,1,0,H,2013-2014
Man United,Liverpool,0,3,A,2013-2014
Tottenham,Arsenal,0,1,A,2013-2014
Chelsea,Arsenal,6,0,H,2013-2014
Cardiff,Liverpool,3,6,A,2013-2014
Everton,Swansea,3,2,H,2013-2014
Hull,West Brom,2,0,H,2013-2014
Man City,Fulham,5,0,H,2013-2014
Newcastle,Crystal Palace,1,0,H,2013-2014
Norwich,Sunderland,2,0,H,2013-2014
West Ham,Man United,0,2,A,2013-2014
Tottenham,Southampton,3,2,H,2013-2014
Aston Villa,Stoke,1,4,A,2013-2014
Arsenal,Swansea,2,2,D,2013-2014
Man United,Man City,0,3,A,2013-2014
Newcastle,Everton,0,3,A,2013-2014
West Ham,Hull,2,1,H,2013-2014
Liverpool,Sunderland,2,1,H,2013-2014
Man United,Aston Villa,4,1,H,2013-2014
Crystal Palace,Chelsea,1,0,H,2013-2014
Southampton,Newcastle,4,0,H,2013-2014
Stoke,Hull,1,0,H,2013-2014
Swansea,Norwich,3,0,H,2013-2014
West Brom,Cardiff,3,3,D,2013-2014
Arsenal,Man City,1,1,D,2013-2014
Fulham,Everton,1,3,A,2013-2014
Liverpool,Tottenham,4,0,H,2013-2014
Sunderland,West Ham,1,2,A,2013-2014
Man City,Southampton,4,1,H,2013-2014
Aston Villa,Fulham,1,2,A,2013-2014
Cardiff,Crystal Palace,0,3,A,2013-2014
Hull,Swansea,1,0,H,2013-2014
Newcastle,Man United,0,4,A,2013-2014
Norwich,West Brom,0,1,A,2013-2014
Chelsea,Stoke,3,0,H,2013-2014
Everton,Arsenal,3,0,H,2013-2014
West Ham,Liverpool,1,2,A,2013-2014
Tottenham,Sunderland,5,1,H,2013-2014
Crystal Palace,Aston Villa,1,0,H,2013-2014
Fulham,Norwich,1,0,H,2013-2014
Southampton,Cardiff,0,1,A,2013-2014
Stoke,Newcastle,1,0,H,2013-2014
Sunderland,Everton,0,1,A,2013-2014
West Brom,Tottenham,3,3,D,2013-2014
Liverpool,Man City,3,2,H,2013-2014
Swansea,Chelsea,0,1,A,2013-2014
Arsenal,West Ham,3,1,H,2013-2014
Everton,Crystal Palace,2,3,A,2013-2014
Man City,Sunderland,2,2,D,2013-2014
Tottenham,Fulham,3,1,H,2013-2014
Aston Villa,Southampton,0,0,D,2013-2014
Cardiff,Stoke,1,1,D,2013-2014
Newcastle,Swansea,1,2,A,2013-2014
West Ham,Crystal Palace,0,1,A,2013-2014
Chelsea,Sunderland,1,2,A,2013-2014
Norwich,Liverpool,2,3,A,2013-2014
Hull,Arsenal,0,3,A,2013-2014
Everton,Man United,2,0,H,2013-2014
Man City,West Brom,3,1,H,2013-2014
Southampton,Everton,2,0,H,2013-2014
Fulham,Hull,2,2,D,2013-2014
Stoke,Tottenham,0,1,A,2013-2014
Swansea,Aston Villa,4,1,H,2013-2014
West Brom,West Ham,1,0,H,2013-2014
Man United,Norwich,4,0,H,2013-2014
Sunderland,Cardiff,4,0,H,2013-2014
Liverpool,Chelsea,0,2,A,2013-2014
Crystal Palace,Man City,0,2,A,2013-2014
Arsenal,Newcastle,3,0,H,2013-2014
West Ham,Tottenham,2,0,H,2013-2014
Aston Villa,Hull,3,1,H,2013-2014
Man United,Sunderland,0,1,A,2013-2014
Newcastle,Cardiff,3,0,H,2013-2014
Stoke,Fulham,4,1,H,2013-2014
Swansea,Southampton,0,1,A,2013-2014
Everton,Man City,2,3,A,2013-2014
Arsenal,West Brom,1,0,H,2013-2014
Chelsea,Norwich,0,0,D,2013-2014
Crystal Palace,Liverpool,3,3,D,2013-2014
Man United,Hull,3,1,H,2013-2014
Man City,Aston Villa,4,0,H,2013-2014
Sunderland,West Brom,2,0,H,2013-2014
Cardiff,Chelsea,1,2,A,2013-2014
Fulham,Crystal Palace,2,2,D,2013-2014
Hull,Everton,0,2,A,2013-2014
Liverpool,Newcastle,2,1,H,2013-2014
Man City,West Ham,2,0,H,2013-2014
Norwich,Arsenal,0,2,A,2013-2014
Southampton,Man United,1,1,D,2013-2014
Sunderland,Swansea,1,3,A,2013-2014
Tottenham,Aston Villa,3,0,H,2013-2014
West Brom,Stoke,1,2,A,2013-2014
Man United,Swansea,1,2,A,2014-2015
Leicester,Everton,2,2,D,2014-2015
QPR,Hull,0,1,A,2014-2015
Stoke,Aston Villa,0,1,A,2014-2015
West Brom,Sunderland,2,2,D,2014-2015
West Ham,Tottenham,0,1,A,2014-2015
Arsenal,Crystal Palace,2,1,H,2014-2015
Liverpool,Southampton,2,1,H,2014-2015
Newcastle,Man City,0,2,A,2014-2015
Burnley,Chelsea,1,3,A,2014-2015
Aston Villa,Newcastle,0,0,D,2014-2015
Chelsea,Leicester,2,0,H,2014-2015
Crystal Palace,West Ham,1,3,A,2014-2015
Southampton,West Brom,0,0,D,2014-2015
Swansea,Burnley,1,0,H,2014-2015
Everton,Arsenal,2,2,D,2014-2015
Hull,Stoke,1,1,D,2014-2015
Tottenham,QPR,4,0,H,2014-2015
Sunderland,Man United,1,1,D,2014-2015
Man City,Liverpool,3,1,H,2014-2015
Burnley,Man United,0,0,D,2014-2015
Man City,Stoke,0,1,A,2014-2015
Newcastle,Crystal Palace,3,3,D,2014-2015
QPR,Sunderland,1,0,H,2014-2015
Swansea,West Brom,3,0,H,2014-2015
West Ham,Southampton,1,3,A,2014-2015
Everton,Chelsea,3,6,A,2014-2015
Aston Villa,Hull,2,1,H,2014-2015
Tottenham,Liverpool,0,3,A,2014-2015
Leicester,Arsenal,1,1,D,2014-2015
Arsenal,Man City,2,2,D,2014-2015
Chelsea,Swansea,4,2,H,2014-2015
Crystal Palace,Burnley,0,0,D,2014-2015
Southampton,Newcastle,4,0,H,2014-2015
Stoke,Leicester,0,1,A,2014-2015
Sunderland,Tottenham,2,2,D,2014-2015
West Brom,Everton,0,2,A,2014-2015
Liverpool,Aston Villa,0,1,A,2014-2015
Man United,QPR,4,0,H,2014-2015
Hull,West Ham,2,2,D,2014-2015
QPR,Stoke,2,2,D,2014-2015
Aston Villa,Arsenal,0,3,A,2014-2015
Burnley,Sunderland,0,0,D,2014-2015
Newcastle,Hull,2,2,D,2014-2015
Swansea,Southampton,0,1,A,2014-2015
West Ham,Liverpool,3,1,H,2014-2015
Leicester,Man United,5,3,H,2014-2015
Tottenham,West Brom,0,1,A,2014-2015
Everton,Crystal Palace,2,3,A,2014-2015
Man City,Chelsea,1,1,D,2014-2015
Liverpool,Everton,1,1,D,2014-2015
Chelsea,Aston Villa,3,0,H,2014-2015
Crystal Palace,Leicester,2,0,H,2014-2015
Hull,Man City,2,4,A,2014-2015
Man United,West Ham,2,1,H,2014-2015
Southampton,QPR,2,1,H,2014-2015
Sunderland,Swansea,0,0,D,2014-2015
Arsenal,Tottenham,1,1,D,2014-2015
West Brom,Burnley,4,0,H,2014-2015
Stoke,Newcastle,1,0,H,2014-2015
Hull,Crystal Palace,2,0,H,2014-2015
Leicester,Burnley,2,2,D,2014-2015
Liverpool,West Brom,2,1,H,2014-2015
Sunderland,Stoke,3,1,H,2014-2015
Swansea,Newcastle,2,2,D,2014-2015
Aston Villa,Man City,0,2,A,2014-2015
Man United,Everton,2,1,H,2014-2015
Chelsea,Arsenal,2,0,H,2014-2015
Tottenham,Southampton,1,0,H,2014-2015
West Ham,QPR,2,0,H,2014-2015
Man City,Tottenham,4,1,H,2014-2015
Arsenal,Hull,2,2,D,2014-2015
Burnley,West Ham,1,3,A,2014-2015
Crystal Palace,Chelsea,1,2,A,2014-2015
Everton,Aston Villa,3,0,H,2014-2015
Newcastle,Leicester,1,0,H,2014-2015
Southampton,Sunderland,8,0,H,2014-2015
QPR,Liverpool,2,3,A,2014-2015
Stoke,Swansea,2,1,H,2014-2015
West Brom,Man United,2,2,D,2014-2015
West Ham,Man City,2,1,H,2014-2015
Liverpool,Hull,0,0,D,2014-2015
Southampton,Stoke,1,0,H,2014-2015
Sunderland,Arsenal,0,2,A,2014-2015
West Brom,Crystal Palace,2,2,D,2014-2015
Swansea,Leicester,2,0,H,2014-2015
Burnley,Everton,1,3,A,2014-2015
Tottenham,Newcastle,1,2,A,2014-2015
Man United,Chelsea,1,1,D,2014-2015
QPR,Aston Villa,2,0,H,2014-2015
Newcastle,Liverpool,1,0,H,2014-2015
Arsenal,Burnley,3,0,H,2014-2015
Chelsea,QPR,2,1,H,2014-2015
Everton,Swansea,0,0,D,2014-2015
Hull,Southampton,0,1,A,2014-2015
Leicester,West Brom,0,1,A,2014-2015
Stoke,West Ham,2,2,D,2014-2015
Man City,Man United,1,0,H,2014-2015
Aston Villa,Tottenham,1,2,A,2014-2015
Crystal Palace,Sunderland,1,3,A,2014-2015
Liverpool,Chelsea,1,2,A,2014-2015
Burnley,Hull,1,0,H,2014-2015
Man United,Crystal Palace,1,0,H,2014-2015
Southampton,Leicester,2,0,H,2014-2015
West Ham,Aston Villa,0,0,D,2014-2015
QPR,Man City,2,2,D,2014-2015
Sunderland,Everton,1,1,D,2014-2015
Tottenham,Stoke,1,2,A,2014-2015
West Brom,Newcastle,0,2,A,2014-2015
Swansea,Arsenal,2,1,H,2014-2015
Chelsea,West Brom,2,0,H,2014-2015
Everton,West Ham,2,1,H,2014-2015
Leicester,Sunderland,0,0,D,2014-2015
Man City,Swansea,2,1,H,2014-2015
Newcastle,QPR,1,0,H,2014-2015
Stoke,Burnley,1,2,A,2014-2015
Arsenal,Man United,1,2,A,2014-2015
Crystal Palace,Liverpool,3,1,H,2014-2015
Hull,Tottenham,1,2,A,2014-2015
Aston Villa,Southampton,1,1,D,2014-2015
West Brom,Arsenal,0,1,A,2014-2015
Burnley,Aston Villa,1,1,D,2014-2015
Liverpool,Stoke,1,0,H,2014-2015
Man United,Hull,3,0,H,2014-2015
QPR,Leicester,3,2,H,2014-2015
Swansea,Crystal Palace,1,1,D,2014-2015
West Ham,Newcastle,1,0,H,2014-2015
Sunderland,Chelsea,0,0,D,2014-2015
Southampton,Man City,0,3,A,2014-2015
Tottenham,Everton,2,1,H,2014-2015
Burnley,Newcastle,1,1,D,2014-2015
Leicester,Liverpool,1,3,A,2014-2015
Man United,Stoke,2,1,H,2014-2015
Swansea,QPR,2,0,H,2014-2015
Crystal Palace,Aston Villa,0,1,A,2014-2015
West Brom,West Ham,1,2,A,2014-2015
Arsenal,Southampton,1,0,H,2014-2015
Chelsea,Tottenham,3,0,H,2014-2015
Everton,Hull,1,1,D,2014-2015
Sunderland,Man City,1,4,A,2014-2015
Newcastle,Chelsea,2,1,H,2014-2015
Hull,West Brom,0,0,D,2014-2015
Liverpool,Sunderland,0,0,D,2014-2015
QPR,Burnley,2,0,H,2014-2015
Stoke,Arsenal,3,2,H,2014-2015
Tottenham,Crystal Palace,0,0,D,2014-2015
Man City,Everton,1,0,H,2014-2015
West Ham,Swansea,3,1,H,2014-2015
Aston Villa,Leicester,2,1,H,2014-2015
Southampton,Man United,1,2,A,2014-2015
Burnley,Southampton,1,0,H,2014-2015
Chelsea,Hull,2,0,H,2014-2015
Crystal Palace,Stoke,1,1,D,2014-2015
Leicester,Man City,0,1,A,2014-2015
Sunderland,West Ham,1,1,D,2014-2015
West Brom,Aston Villa,1,0,H,2014-2015
Arsenal,Newcastle,4,1,H,2014-2015
Man United,Liverpool,3,0,H,2014-2015
Swansea,Tottenham,1,2,A,2014-2015
Everton,QPR,3,1,H,2014-2015
Man City,Crystal Palace,3,0,H,2014-2015
Aston Villa,Man United,1,1,D,2014-2015
Hull,Swansea,0,1,A,2014-2015
QPR,West Brom,3,2,H,2014-2015
Southampton,Everton,3,0,H,2014-2015
Tottenham,Burnley,2,1,H,2014-2015
West Ham,Leicester,2,0,H,2014-2015
Newcastle,Sunderland,0,1,A,2014-2015
Liverpool,Arsenal,2,2,D,2014-2015
Stoke,Chelsea,0,2,A,2014-2015
Chelsea,West Ham,2,0,H,2014-2015
Burnley,Liverpool,0,1,A,2014-2015
Crystal Palace,Southampton,1,3,A,2014-2015
Everton,Stoke,0,1,A,2014-2015
Leicester,Tottenham,1,2,A,2014-2015
Man United,Newcastle,3,1,H,2014-2015
Sunderland,Hull,1,3,A,2014-2015
Swansea,Aston Villa,1,0,H,2014-2015
West Brom,Man City,1,3,A,2014-2015
Arsenal,QPR,2,1,H,2014-2015
Tottenham,Man United,0,0,D,2014-2015
Southampton,Chelsea,1,1,D,2014-2015
Aston Villa,Sunderland,0,0,D,2014-2015
Hull,Leicester,0,1,A,2014-2015
Man City,Burnley,2,2,D,2014-2015
QPR,Crystal Palace,0,0,D,2014-2015
Stoke,West Brom,2,0,H,2014-2015
West Ham,Arsenal,1,2,A,2014-2015
Newcastle,Everton,3,2,H,2014-2015
Liverpool,Swansea,4,1,H,2014-2015
Stoke,Man United,1,1,D,2014-2015
Aston Villa,Crystal Palace,0,0,D,2014-2015
Hull,Everton,2,0,H,2014-2015
Liverpool,Leicester,2,2,D,2014-2015
Man City,Sunderland,3,2,H,2014-2015
Newcastle,Burnley,3,3,D,2014-2015
QPR,Swansea,1,1,D,2014-2015
Southampton,Arsenal,2,0,H,2014-2015
West Ham,West Brom,1,1,D,2014-2015
Tottenham,Chelsea,5,3,H,2014-2015
Sunderland,Liverpool,0,1,A,2014-2015
Burnley,QPR,2,1,H,2014-2015
Chelsea,Newcastle,2,0,H,2014-2015
Everton,Man City,1,1,D,2014-2015
Leicester,Aston Villa,1,0,H,2014-2015
Swansea,West Ham,1,1,D,2014-2015
West Brom,Hull,1,0,H,2014-2015
Crystal Palace,Tottenham,2,1,H,2014-2015
Arsenal,Stoke,3,0,H,2014-2015
Man United,Southampton,0,1,A,2014-2015
Aston Villa,Liverpool,0,2,A,2014-2015
Burnley,Crystal Palace,2,3,A,2014-2015
Leicester,Stoke,0,1,A,2014-2015
QPR,Man United,0,2,A,2014-2015
Swansea,Chelsea,0,5,A,2014-2015
Tottenham,Sunderland,2,1,H,2014-2015
Newcastle,Southampton,1,2,A,2014-2015
West Ham,Hull,3,0,H,2014-2015
Man City,Arsenal,0,2,A,2014-2015
Everton,West Brom,0,0,D,2014-2015
Hull,Newcastle,0,3,A,2014-2015
Crystal Palace,Everton,0,1,A,2014-2015
Liverpool,West Ham,2,0,H,2014-2015
Man United,Leicester,3,1,H,2014-2015
Stoke,QPR,3,1,H,2014-2015
Sunderland,Burnley,2,0,H,2014-2015
West Brom,Tottenham,0,3,A,2014-2015
Chelsea,Man City,1,1,D,2014-2015
Arsenal,Aston Villa,5,0,H,2014-2015
Southampton,Swansea,0,1,A,2014-2015
Tottenham,Arsenal,2,1,H,2014-2015
Aston Villa,Chelsea,1,2,A,2014-2015
Leicester,Crystal Palace,0,1,A,2014-2015
Man City,Hull,1,1,D,2014-2015
QPR,Southampton,0,1,A,2014-2015
Swansea,Sunderland,1,1,D,2014-2015
Everton,Liverpool,0,0,D,2014-2015
Burnley,West Brom,2,2,D,2014-2015
Newcastle,Stoke,1,1,D,2014-2015
West Ham,Man United,1,1,D,2014-2015
Arsenal,Leicester,2,1,H,2014-2015
Hull,Aston Villa,2,0,H,2014-2015
Sunderland,QPR,0,2,A,2014-2015
Liverpool,Tottenham,3,2,H,2014-2015
Chelsea,Everton,1,0,H,2014-2015
Man United,Burnley,3,1,H,2014-2015
Southampton,West Ham,0,0,D,2014-2015
Stoke,Man City,1,4,A,2014-2015
Crystal Palace,Newcastle,1,1,D,2014-2015
West Brom,Swansea,2,0,H,2014-2015
Aston Villa,Stoke,1,2,A,2014-2015
Chelsea,Burnley,1,1,D,2014-2015
Crystal Palace,Arsenal,1,2,A,2014-2015
Hull,QPR,2,1,H,2014-2015
Sunderland,West Brom,0,0,D,2014-2015
Swansea,Man United,2,1,H,2014-2015
Man City,Newcastle,5,0,H,2014-2015
Tottenham,West Ham,2,2,D,2014-2015
Everton,Leicester,2,2,D,2014-2015
Southampton,Liverpool,0,2,A,2014-2015
West Ham,Crystal Palace,1,3,A,2014-2015
Burnley,Swansea,0,1,A,2014-2015
Man United,Sunderland,2,0,H,2014-2015
Newcastle,Aston Villa,1,0,H,2014-2015
Stoke,Hull,1,0,H,2014-2015
West Brom,Southampton,1,0,H,2014-2015
Liverpool,Man City,2,1,H,2014-2015
Arsenal,Everton,2,0,H,2014-2015
Aston Villa,West Brom,2,1,H,2014-2015
Hull,Sunderland,1,1,D,2014-2015
Southampton,Crystal Palace,1,0,H,2014-2015
Man City,Leicester,2,0,H,2014-2015
Newcastle,Man United,0,1,A,2014-2015
QPR,Arsenal,1,2,A,2014-2015
Stoke,Everton,2,0,H,2014-2015
Tottenham,Swansea,3,2,H,2014-2015
West Ham,Chelsea,0,1,A,2014-2015
Liverpool,Burnley,2,0,H,2014-2015
QPR,Tottenham,1,2,A,2014-2015
Crystal Palace,QPR,3,1,H,2014-2015
Arsenal,West Ham,3,0,H,2014-2015
Leicester,Hull,0,0,D,2014-2015
Sunderland,Aston Villa,0,4,A,2014-2015
West Brom,Stoke,1,0,H,2014-2015
Burnley,Man City,1,0,H,2014-2015
Chelsea,Southampton,1,1,D,2014-2015
Everton,Newcastle,3,0,H,2014-2015
Man United,Tottenham,3,0,H,2014-2015
Swansea,Liverpool,0,1,A,2014-2015
Man City,West Brom,3,0,H,2014-2015
Aston Villa,Swansea,0,1,A,2014-2015
Newcastle,Arsenal,1,2,A,2014-2015
Southampton,Burnley,2,0,H,2014-2015
Stoke,Crystal Palace,1,2,A,2014-2015
Tottenham,Leicester,4,3,H,2014-2015
West Ham,Sunderland,1,0,H,2014-2015
Liverpool,Man United,1,2,A,2014-2015
Hull,Chelsea,2,3,A,2014-2015
QPR,Everton,1,2,A,2014-2015
Arsenal,Liverpool,4,1,H,2014-2015
Everton,Southampton,1,0,H,2014-2015
Leicester,West Ham,2,1,H,2014-2015
Man United,Aston Villa,3,1,H,2014-2015
Swansea,Hull,3,1,H,2014-2015
West Brom,QPR,1,4,A,2014-2015
